DNABANK;GENUS;SPECIES;LOCALIDAD;POB_CODE;y;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8845-8854//9219;RHAMNUS;R.  crenulata;Barranco del infierno;RcreTBINFI;28.14323333;-16.6972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8816-8822;RHAMNUS;R.  crenulata;Barranco La Hoya. Punta Hidalgo;RcreTBHOYA;28.55604722;-16.3139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8764-8767;RHAMNUS;R.  crenulata;Barranco Seco.Teno bajo;RcreTBSECO;28.33431944;-16.8948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8925-8936;RHAMNUS;R.  crenulata;Bco de Pina (tb. Bco. de Blas). Abona;RcreTBPINA;28.35019722;-16.8278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8896-8906//10045;RHAMNUS;R.  crenulata;Bco. Las Vigas (Araya). Candelaria;RcreTARAYA;28.36597778;-16.3940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8942-8949//8956-8957;RHAMNUS;R.  crenulata;Cuevas Negras (Teno);RcreTCUEVA;28.34869444;-16.8045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10993-11003;RHAMNUS;R.  crenulata;Igueste de San Andrés (Anaga);RcreTANAGA;28.53989444;-16.1585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8880-8886;RHAMNUS;R.  crenulata;Rincón de Buenavista. entre Bujamé y El Fraile. Teno;RcreTBUENA;28.36202222;-16.8783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4255//4257;RHAMNUS;R.  Integrifolia;La Fortaleza;RinTFORTA;28.31184444;-16.6008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11314-11320;RHAMNUS;R.  Integrifolia;Barranco de Masca;RinTMASCA;28.29651111;-16.8495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10985-10992;RHAMNUS;R.  Integrifolia;Boca Tauce;RinTTAUCE;28.21159444;-16.6792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8835-8844//10971//9051-9052//9823-9824;RHAMNUS;R.  Integrifolia;Barranco del infierno;RinTBINFI;28.14323333;-16.6972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8887-8888//9823-9824;RHAMNUS;R.  Integrifolia;Rincón de Buenavista. entre Bujamé y El Fraile. Teno;RinTBUJAM;28.36034444;-16.8781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
